id,name,required_level,required_item,required_item2,heroic_key,heroic_key2,required_quest_done,required_quest_done_heroic,target_map,target_position_x,target_position_y,target_position_z,target_orientation,condition_id
2534,"Stormwind (Inside) - Champions Hall",0,0,0,0,0,0,0,0,-8762.45,403.062,103.902,5.34463,0
2567,"Scholomance - Entering",45,0,0,0,0,0,0,289,190.819,126.329,137.227,0.0,0
2568,"Scholomance - Exiting",0,0,0,0,0,0,0,0,1273.91,-2553.09,90.6322,3.57793,0
2606,"Alterac Valley - Horde Exit",0,0,0,0,0,0,0,0,534.868,-1087.68,106.119,3.35758,0
2608,"Alterac Valley - Alliance Exit",0,0,0,0,0,0,0,0,98.432,-182.274,127.52,5.02654,0
2848,"Onyxia's Lair - Entering",50,0,0,0,0,0,0,249,30.8916,-54.079,-5.02784,4.71239,0
2886,"The Molten Bridge",50,0,0,0,0,0,0,409,1096.0,-467.0,-104.6,3.64,0
2890,"Molten Core Entrance, Inside",0,0,0,0,0,0,0,230,1115.35,-457.35,-102.7,0.5,0
3126,"Maraudon Purple - Exiting",0,0,0,0,0,0,0,1,-1182.8,2877.43,85.908,1.65806,0
3131,"Maraudon Orange - Exiting",0,0,0,0,0,0,0,1,-1468.2,2614.21,76.3804,0.0,0
3133,"Maraudon Orange - Entering",35,0,0,0,0,0,0,349,1016.83,-458.52,-43.4737,0.0,0
3134,"Maraudon Purple - Entering",35,0,0,0,0,0,0,349,755.078,-617.696,-32.9222,1.5708,0
3183,"Dire Maul East - Entering",45,0,0,0,0,0,0,429,47.4501,-153.665,-2.71439,5.49779,0
3184,"Dire Maul",45,0,0,0,0,0,0,429,-201.11,-328.66,-2.72,5.22,0
3185,"Dire Maul East - Entering Back Door",45,0,0,0,0,0,0,429,10.5786,-836.991,-32.3988,0.0,0
3186,"Dire Maul West - Entering",45,0,0,0,0,0,0,429,-65.6559,159.561,-3.4647,2.35619,0
3187,"Dire Maul West - Entering Side Door",45,0,0,0,0,0,0,429,33.1083,158.977,-3.47126,0.785398,0
3189,"Dire Maul North - Entering",45,0,0,0,0,0,0,429,254.92,-19.463,-2.5596,5.49779,0
3190,"Dire Maul",0,0,0,0,0,0,0,1,-3831.79,1250.23,160.223,0.0,0
3191,"Dire Maul",0,0,0,0,0,0,0,1,-3747.96,1249.18,160.217,3.15827,0
3193,"Dire Maul",0,0,0,0,0,0,0,1,-3520.65,1077.72,161.138,1.5009,0
3194,"Dire Maul East - Exiting",0,0,0,0,0,0,0,1,-3738.62,934.522,160.975,3.14159,0
3195,"Dire Maul",0,0,0,0,0,0,0,1,-3980.58,776.193,161.006,0.0,0
3196,"Dire Maul East - Exiting Back Door",0,0,0,0,0,0,0,1,-4031.25,129.345,26.4744,1.5708,0
3197,"Dire Maul East - Exiting after Alzzin",0,0,0,0,0,0,0,1,-3585.84,847.367,138.641,2.35619,0
3528,"The Molten Core Window Entrance",50,0,0,0,0,7848,0,409,1096.0,-467.0,-104.6,3.64,0
3529,"The Molten Core Window(Lava) Entrance",50,0,0,0,0,0,0,409,1096.0,-467.0,-104.6,3.64,0
3726,"Blackwing Lair - Entering",60,0,0,0,0,0,0,469,-7672.32,-1107.05,396.651,0.785398,0
3728,"Blackwing Lair - Exiting",45,0,0,0,0,0,0,229,174.74,-474.77,116.84,3.2,0
3928,"Zul'Gurub - Entering",50,0,0,0,0,0,0,309,-11916.6,-1243.52,92.5338,4.71239,0
3930,"Zul'Gurub - Exiting",0,0,0,0,0,0,0,0,-11916.3,-1208.37,92.2868,0.0,0
3948,"Arathi Basin Alliance Out",0,0,0,0,0,0,0,0,-1198.0,-2533.0,22.0,0.0,0
3949,"Arathi Basin Horde Out",0,0,0,0,0,0,0,0,-817.0,-3509.0,73.0,0.0,0
4006,"Ruins Of Ahn'Qiraj (Inside)",0,0,0,0,0,0,0,1,-8418.5,1505.94,31.8232,0.0,0
4008,"Ruins of Ahn'Qiraj - Entering",50,0,0,0,0,0,0,509,-8436.53,1519.17,31.907,2.61799,0
4010,"Ahn'Qiraj Temple - Entering",50,0,0,0,0,0,0,531,-8221.35,2014.34,129.071,0.872665,0
4012,"Ahn'Qiraj Temple - Exiting",0,0,0,0,0,0,0,1,-8239.01,1993.25,129.071,4.01426,0
4131,"Karazhan, Main (Entrance)",70,0,0,0,0,0,0,532,-11101.8,-1998.31,49.8927,0.007069,0
4135,"Karazhan, Service (Entrance)",68,0,0,0,0,0,0,532,-11040.1,-1996.85,94.6837,2.20224,0
4145,"The Shattered Halls (Exit)",0,0,0,0,0,0,0,530,-311.16,3082.1,-3.71,4.92,0
4147,"The Blood Furnace (Exit)",0,0,0,0,0,0,0,530,-303.506,3164.82,31.7425,5.24025,0
4149,"Magtheridon's Lair (Exit)",0,0,0,0,0,0,0,530,-313.679,3088.35,-116.502,2.05307,0
4150,"Hellfire Ramparts (Entrance)",55,0,0,30637,30622,0,0,543,-1355.24,1641.12,68.2491,0.6687,0
4151,"The Shattered Halls (Entrance)",55,0,0,30637,30622,0,0,540,-40.8716,-19.7538,-13.8065,1.11133,0
4152,"The Blood Furnace (Entrance)",55,0,0,30637,30622,0,0,542,-3.9967,14.6363,-44.8009,4.88748,0
4153,"Magtheridon's Lair (Entrance)",65,0,0,0,0,0,0,544,187.843,35.9232,67.9252,4.79879,0
4156,"Naxxramas (to frostwyrm lair)",80,0,0,0,0,0,0,533,3498.28,-5349.9,144.96,1.31,0
4297,"Hellfire Ramparts (Exit)",0,0,0,0,0,0,0,530,-360.671,3071.9,-15.0977,5.14274,0
4311,"Battle Of Mount Hyjal, Alliance Base (Entrance)",70,0,0,0,0,0,0,534,5066.79,-1791.9,1321.65,2.35619,0
4312,"Battle Of Mount Hyjal, Horde Base (Entrance)",70,0,0,0,0,0,0,534,5499.96,-2756.8,1488.96,1.39626,10072
4313,"Battle Of Mount Hyjal, Night Elf Base (Entrance)",70,0,0,0,0,0,0,534,5163.02,-3428.31,1627.61,0.785398,10075
4319,"Caverns Of Time, Battle Of Mount Hyjal (Entrance) ",70,0,0,0,0,0,0,534,4252.72,-4226.16,868.222,2.35619,0
4320,"Caverns Of Time, Black Morass (Entrance)",66,0,0,30635,0,10285,10298,269,-1491.61,7056.51,32.1011,1.74533,0
4321,"Caverns Of Time, Old Hillsbrad Foothills (Entrance)",66,0,0,30635,0,0,10285,560,2741.68,1312.64,14.0413,2.79253,0
4322,"Caverns Of Time, Black Morass (Exit)",0,0,0,0,0,0,0,1,-8759.51,-4192.27,-209.501,5.49779,0
4323,"Caverns Of Time, Battle Of Mount Hyjal (Exit)",0,0,0,0,0,0,0,1,-8176.99,-4176.92,-166.463,3.92699,0
4324,"Caverns Of Time, Old Hillsbrad Foothills (Exit)",0,0,0,0,0,0,0,1,-8359.11,-4058.83,-208.186,3.49066,0
4352,"Outland To Dark Portal",58,0,0,0,0,0,0,0,-11877.7,-3204.49,-18.49,0.23,0
4354,"Dark Portal To Outland",58,0,0,0,0,0,0,530,-248.149,921.875,84.3885,1.58415,3178
4363,"The Underbog (Entrance)",55,0,0,30623,0,0,0,546,9.71391,-16.2008,-2.75334,5.57082,0
4364,"The Steamvault (Entrance)",55,0,0,30623,0,0,0,545,-13.8425,6.7542,-4.2586,0.0,0
4365,"The Slave Pens (Entrance)",55,0,0,30623,0,0,0,547,120.101,-131.957,-0.801547,1.47574,0
4366,"The Steamvault (Exit)",0,0,0,0,0,0,0,530,816.59,6934.67,-80.5446,4.53174,0
4367,"The Underbog (Exit)",0,0,0,0,0,0,0,530,777.089,6763.45,-72.0662,2.72453,0
4379,"The Slave Pens (Exit)",0,0,0,0,0,0,0,530,719.508,6999.34,-73.0743,4.52702,0
4386,"Sunstrider Isle to Eastern Plaguelands",1,0,0,0,0,0,0,0,3476.36,-4493.36,137.49,2.25566,0
4397,"Shadow Labyrinth (Exit)",0,0,0,0,0,0,0,530,-3645.06,4943.62,-101.048,6.27058,0
4399,"Sethekk Halls (Exit)",0,0,0,0,0,0,0,530,-3361.96,4660.41,-101.048,1.60278,0
4401,"Mana Tombs (Exit)",0,0,0,0,0,0,0,530,-3079.81,4943.04,-101.047,3.16432,0
4403,"Auchenai Crypts (Exit)",0,0,0,0,0,0,0,530,-3362.22,5225.77,-101.049,4.70763,0
4404,"Auchenai Crypts (Entrance)",55,0,0,30633,0,0,0,558,-21.8975,0.16,-0.1206,0.0353412,0
4405,"Mana Tombs (Entrance)",55,0,0,30633,0,0,0,557,0.0191,0.9478,-0.9543,3.03164,0
4406,"Sethekk Halls (Entrance)",55,0,0,30633,0,0,0,556,-4.6811,-0.0930796,0.0062,0.0353424,0
4407,"Shadow Labyrinth (Entrance)",65,0,0,30633,0,0,0,555,0.488033,-0.215935,-1.12788,3.15888,0
4409,"Eastern Plaguelands To Sunstrider Isle",0,0,0,0,0,0,0,530,6123.0,-7005.0,138.0,5.0,0
4416,"Serpentshrine Cavern (Entrance)",70,0,0,0,0,0,0,548,2.5343,-0.022318,821.727,0.004512,0
4418,"Serpentshrine Cavern (Exit)",0,0,0,0,0,0,0,530,827.011,6865.47,-63.7844,3.06507,0
4436,"Karazhan, Main (Exit)",0,0,0,0,0,0,0,0,-11112.9,-2005.89,49.3307,4.02516,0
4455,"The Arcatraz (Exit)",0,0,0,0,0,0,0,530,3312.09,1331.89,505.559,2.00554,0
4457,"The Eye (Exit)",0,0,0,0,0,0,0,530,3087.31,1373.79,184.643,1.52918,0
4459,"The Botanica (Exit)",0,0,0,0,0,0,0,530,3413.65,1483.32,182.838,2.54432,0
4461,"The Mechanar (Exit)",0,0,0,0,0,0,0,530,2862.41,1546.09,252.161,0.805457,0
4467,"The Botanica (Entrance)",68,0,0,30634,0,0,0,553,40.0395,-28.613,-1.1189,2.35856,0
4468,"The Arcatraz (Entrance)",68,0,0,30634,0,0,0,552,-1.23165,0.0143459,-0.204293,0.0157123,0
4469,"The Mechanar (Entrance)",68,0,0,30634,0,0,0,554,-28.906,0.680314,-1.81282,0.0345509,0
4470,"The Eye (Entrance)",68,0,0,0,0,0,0,550,-10.8021,-1.15045,-2.42833,6.22821,0
4487,"Battle Of Mount Hyjal (Exit)",0,0,0,0,0,0,0,1,-8177.5,-4183.0,-168.0,4.5,0
4520,"Karazhan, Service (Exit)",0,0,0,0,0,0,0,0,-11034.8,-2003.8,92.98,0.0,0
4534,"Gruul's Lair (Exit)",0,0,0,0,0,0,0,530,3549.8,5085.97,2.46332,2.25742,0
4535,"Gruul's Lair (Entrance)",65,0,0,0,0,0,0,565,62.7842,35.462,-3.9835,1.41844,0
4561,"Invasion Point, Cataclysm (Return Point)",0,0,0,0,0,0,0,530,-3277.86,2831.64,123.02,1.5708,0
4562,"Invasion Point, Cataclysm (Return Point)",0,0,0,0,0,0,0,530,-3277.86,2831.64,123.02,1.5708,0
4598,"Black Temple (Entrance)",70,0,0,0,0,0,0,564,96.4462,1002.35,-86.9984,6.15675,0
4612,"The Botanica (Atrium Exit)",0,0,0,0,0,0,0,530,3409.85,1486.26,182.837,2.53073,0
4614,"The Mechanar (Boss Exit)",0,0,0,0,0,0,0,530,2862.41,1546.09,252.161,0.805457,0
4619,"Black Temple (Exit)",0,0,0,0,0,0,0,530,-3653.51,317.493,36.1671,6.24941,0
4738,"Zul'Aman (Entrance)",68,0,0,0,0,0,0,568,120.7,1776.0,43.46,4.7713,0
4739,"Zul'Aman (Exit)",0,0,0,0,0,0,0,530,6851.5,-7997.68,192.36,1.56688,0
4741,"Utgarde Pinnacle (exit)",0,0,0,0,0,0,0,571,1228.09,-4862.45,41.248,3.443,0
4743,"Utgarde Keep (exit)",0,0,0,0,0,0,0,571,1237.2,-4859.27,218.283,0.274,0
4745,"Utgarde Keep (entrance)",68,0,0,0,0,0,0,574,153.789,-86.548,12.551,0.304,0
4747,"Utgarde Pinnacle (entrance)",75,0,0,0,0,0,0,575,584.117,-327.974,110.138,3.122,0
4885,"Magisters' Terrace (Exit)",0,0,0,0,0,0,0,530,12884.6,-7336.17,65.48,1.09,0
4887,"Magisters' Terrace (Entrance)",70,0,0,0,0,0,11492,585,7.09,-0.45,-2.8,0.05,0
4889,"Sunwell Plateau (Entrance)",70,0,0,0,0,0,0,580,1790.65,925.67,15.15,3.1,0
4891,"Sunwell Plateau (Exit)",0,0,0,0,0,0,0,530,12560.8,-6774.59,15.08,6.25,0
4917,"Arena - Nagrand - Teleport Target - Game On",0,0,0,0,0,0,0,559,4054.57,2923.23,13.8179,0.0,0
4919,"Arena - Bladesedge - Teleport Target - Game On",0,0,0,0,0,0,0,562,6238.89,264.155,0.894302,0.0,0
4921,"Arena - Bladesedge - Teleport Target - Game On",0,0,0,0,0,0,0,562,6238.89,264.155,0.894302,0.0,0
4922,"Arena - Bladesedge - Teleport Target - Game On",0,0,0,0,0,0,0,562,6238.89,264.155,0.894302,0.0,0
4923,"Arena - Bladesedge - Teleport Target - Game On",0,0,0,0,0,0,0,562,6238.89,264.155,0.894302,0.0,0
4924,"Arena - Bladesedge - Teleport Target - Game On",0,0,0,0,0,0,0,562,6238.89,264.155,0.894302,0.0,0
4925,"Arena - Bladesedge - Teleport Target - Game On",0,0,0,0,0,0,0,562,6238.89,264.155,0.894302,0.0,0
4927,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4928,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4929,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4930,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4931,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4932,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4933,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4934,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4935,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4936,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4941,"Arena - Undercity - Teleport Target - Game On",0,0,0,0,0,0,0,572,1286.57,1667.4,39.602,0.0,0
4944,"Arena - Bladesedge - Teleport Target - Game On",0,0,0,0,0,0,0,562,6238.89,264.155,0.894302,0.0,0
4981,"The Nexus (exit)",0,0,0,0,0,0,0,571,3897.42,6985.33,69.487,3.17,0
4983,"The Nexus (entrance)",68,0,0,0,0,0,0,576,145.87,-10.554,-16.636,1.528,0
4998,"Drak'Tharon Keep (entrance)",69,0,0,0,0,0,0,600,-517.343,-487.976,11.01,4.831,0
5000,"Drak'Tharon Keep (exit)",0,0,0,0,0,0,0,571,4774.47,-2028.04,229.373,4.645,0
5001,"The Oculus (exit)",0,0,0,0,0,0,0,571,3876.16,6984.44,106.32,6.279,0
5010,"Ulduar, Halls of Stone (entrance)",72,0,0,0,0,0,0,599,1153.24,806.164,195.937,4.715,0
5012,"Ulduar, Halls of Stone (exit)",0,0,0,0,0,0,0,571,8921.93,-970.399,1039.2,4.726,0
5091,"Ulduar, Halls of Lightning (exit)",0,0,0,0,0,0,0,571,9182.91,-1384.73,1110.21,2.431,0
5093,"Ulduar, Halls of Lightning (entrance)",75,0,0,0,0,0,0,602,1331.47,259.619,53.398,4.772,0
5113,"Azjol-Nerub (exit back)",0,0,0,0,0,0,0,571,3678.05,2166.4,35.795,5.58,0
5115,"Azjol-Nerub (exit)",0,0,0,0,0,0,0,571,3678.05,2166.4,35.795,5.58,0
5117,"Azjol-Nerub (entrance)",67,0,0,0,0,0,0,601,413.314,795.968,831.351,5.5,0
5148,"Culling of Stratholme (exit)",0,0,0,0,0,0,0,1,-8756.87,-4459.29,-200.73,1.32,0
5150,"Culling of Stratholme (entrance)",75,0,0,0,0,0,0,595,1431.1,556.92,36.69,5.16,0
5187,"Teleportation pad, Garm's Rise -> K3",77,0,0,0,0,12821,0,571,6153.08,-1074.07,403.478,2.04995,0
5190,"Teleportation pad, K3 -> Garm's Rise",77,0,0,0,0,12821,0,571,6313.44,-1762.44,457.645,2.08917,0
5191,"Naxxramas (entrance1)",80,0,0,0,0,0,0,533,3005.68,-3447.77,293.93,4.65,0
5192,"Naxxramas (entrance2)",80,0,0,0,0,0,0,533,3019.34,-3434.36,293.99,6.27,0
5193,"Naxxramas (entrance3)",80,0,0,0,0,0,0,533,3005.9,-3420.58,294.11,1.58,0
5194,"Naxxramas (entrance4)",80,0,0,0,0,0,0,533,2992.5,-3434.42,293.94,3.13,0
5196,"Naxxramas (exit1)",0,0,0,0,0,0,0,571,3679.25,-1278.58,243.55,2.39,0
5197,"Naxxramas (exit2)",0,0,0,0,0,0,0,571,3679.03,-1259.68,243.55,3.98,0
5198,"Naxxramas (exit3)",0,0,0,0,0,0,0,571,3661.14,-1279.55,243.55,0.82,0
5199,"Naxxramas (exit4)",0,0,0,0,0,0,0,571,3660.01,-1260.99,243.55,5.51,0
5205,"Gundrak (entrance south)",71,0,0,0,0,0,0,604,1891.84,832.169,176.669,2.109,0
5206,"Gundrak (entrance north)",71,0,0,0,0,0,0,604,1894.58,652.713,176.666,4.078,0
5209,"Violet Hold (entrance)",70,0,0,0,0,0,0,608,1808.82,803.93,44.364,6.282,0
5211,"Violet Hold (exit)",0,0,0,0,0,0,0,571,5680.7,487.323,652.418,0.882,0
5213,"Ahn'Kahet (exit)",0,0,0,0,0,0,0,571,3641.84,2032.94,2.47,1.178,0
5215,"Ahn'Kahet (entrance)",68,0,0,0,0,0,0,619,333.351,-1109.94,69.772,0.553,0
5231,"Gundrak (exit south)",0,0,0,0,0,0,0,571,6702.47,-4660.55,441.568,0.75,0
5233,"Gundrak (exit east)",0,0,0,0,0,0,0,571,6970.02,-4402.09,441.578,3.845,0
5235,"Ahn'Kahet (exit)",0,0,0,0,0,0,0,571,3641.84,2032.94,2.47,1.178,0
5241,"Chamber of Aspects, Obsidian Sanctum (exit)",0,0,0,0,0,0,0,571,3448.0,261.545,-110.163,0.097,0
5243,"Chamber of Aspects, Obsidian Sanctum (entrance)",80,0,0,0,0,0,0,615,3228.58,385.86,65.549,1.578,0
5246,"The Oculus (entrance)",75,0,0,0,0,0,0,578,1055.93,986.85,361.07,5.745,0
5258,"Vault of Archavon (Entrance)",80,0,0,0,0,0,0,624,-505.96,-103.353,157.0,0.0,1529
5262,"Vault of Archavon (Exit)",0,0,0,0,0,0,0,571,5480.88,2840.47,418.68,3.14,0
5273,"Dalaran well to sewer",0,0,0,0,0,0,0,571,5791.39,560.1,633.76,0.79,0
5276,"Gundrak (exit west)",0,0,0,0,0,0,0,571,6702.47,-4660.55,441.568,0.75,0
5277,"Gundrak (exit north)",0,0,0,0,0,0,0,571,6970.02,-4402.09,441.578,3.845,0
5290,"The Eye of Eternity (entrance)",80,0,0,0,0,0,0,616,727.942,1329.39,267.234,5.496,0
5326,"Arena - Dalaran Arena - Teleport Target",0,0,0,0,0,0,0,617,1291.57,792.965,8.11463,0.0,0
5328,"Arena - Dalaran Arena - Teleport Target",0,0,0,0,0,0,0,617,1291.57,792.965,8.11463,0.0,0
5329,"Arena - Dalaran Arena - Teleport Target",0,0,0,0,0,0,0,617,1291.57,792.965,8.11463,0.0,0
5330,"Arena - Dalaran Arena - Teleport Target",0,0,0,0,0,0,0,617,1291.57,792.965,8.11463,0.0,0
5331,"Arena - Dalaran Arena - Teleport Target",0,0,0,0,0,0,0,617,1291.57,792.965,8.11463,0.0,0
5332,"Temple City of En'kilah -> Naxxanar",0,0,0,0,0,0,0,571,3736.1,3565.4,290.8,3.669,1429
5334,"Naxxanar -> Temple City of En'kilah",0,0,0,0,0,0,0,571,3801.5,3586.05,49.57,0.746,1429
5338,"Naxxanar: roof -> 1st floor",0,0,0,0,0,0,0,571,3733.68,3563.25,290.812,3.66519,0
5339,"Naxxanar: 2nd floor -> 1st floor",0,0,0,0,0,0,0,571,3733.68,3563.25,290.812,3.665,0
5340,"Naxxanar: 1st floor -> roof",0,0,0,0,0,0,0,571,3692.43,3577.94,473.32,6.14,1436
5341,"Naxxanar: 1st floor -> 2nd floor",0,0,0,0,0,0,0,571,3734.14,3571.12,341.662,2.259,1435
5379,"Ulduar Raid entrance",80,0,0,0,0,0,0,603,-914.041,-148.98,463.137,6.28,0
5381,"Ulduar Raid exit",0,0,0,0,0,0,0,571,9345.56,-1114.88,1245.09,3.11,0
