race,class,level,str,agi,sta,inte,spi,basehp,basemana
1,2,5,26,22,26,23,24,60,111
1,2,6,28,23,27,23,25,68,134
1,2,7,29,24,28,24,25,76,143
1,2,8,30,24,29,25,26,84,153
1,2,9,31,25,30,25,27,92,179
1,2,10,32,25,32,26,27,100,192
1,2,11,33,26,33,27,28,108,205
1,2,12,35,27,34,27,29,116,219
1,2,13,36,27,35,28,30,124,249
1,2,14,37,28,36,29,31,132,265
1,2,15,38,29,37,30,31,131,282
1,2,16,40,29,38,30,32,141,315
1,2,17,41,30,40,31,33,152,334
1,2,18,42,31,41,32,34,164,354
1,2,19,43,31,42,33,35,177,390
1,2,20,45,32,43,33,35,191,412
1,2,21,46,33,45,34,36,206,435
1,2,22,47,33,46,35,37,222,459
1,2,23,49,34,47,36,38,239,499
1,2,24,50,35,48,37,39,247,525
1,2,25,51,36,50,37,40,266,552
1,2,26,53,36,51,38,41,286,579
1,2,27,54,37,52,39,42,307,621
1,2,28,56,38,54,40,43,329,648
1,2,29,57,39,55,41,43,342,675
1,2,30,58,39,56,42,44,366,702
1,2,31,60,40,58,43,45,391,729
1,2,32,61,41,59,43,46,407,756
1,2,33,63,42,60,44,47,434,798
1,2,34,64,43,62,45,48,462,825
1,2,35,66,44,63,46,49,481,852
1,2,36,67,44,65,47,50,511,879
1,2,37,69,45,66,48,51,542,906
1,2,38,70,46,67,49,52,564,933
1,2,39,72,47,69,50,53,597,960
1,2,40,73,48,70,51,54,621,987
1,2,41,75,49,72,52,55,656,1014
1,2,42,77,49,73,53,56,682,1041
1,2,43,78,50,75,54,57,719,1068
1,2,44,80,51,76,55,58,747,1110
1,2,45,81,52,78,56,59,786,1137
1,2,46,83,53,79,57,61,816,1164
1,2,47,85,54,81,58,62,857,1176
1,2,48,86,55,83,59,63,889,1203
1,2,49,88,56,84,60,64,922,1230
1,2,50,90,57,86,61,65,966,1257
1,2,51,91,58,87,62,66,1001,1284
1,2,52,93,59,89,63,67,1037,1311
1,2,53,95,60,91,64,68,1084,1338
1,2,54,97,61,92,65,69,1122,1365
1,2,55,98,61,94,66,71,1161,1392
1,2,56,100,62,95,67,72,1201,1419
1,2,57,102,63,97,68,73,1252,1446
1,2,58,104,64,99,69,74,1294,1458
1,2,59,105,65,101,70,75,1337,1485
1,2,60,107,66,102,71,77,1381,1512
1,2,61,109,67,104,73,78,1540,1656
1,2,62,111,69,106,74,79,1708,1800
1,2,63,113,70,107,75,80,1884,1944
1,2,64,115,71,109,76,81,2068,2088
1,2,65,116,72,111,77,83,2262,2232
1,2,66,118,73,113,78,84,2466,2377
1,2,67,120,74,115,79,85,2679,2521
1,2,68,122,75,116,81,86,2901,2665
1,2,69,124,76,118,82,88,3134,2809
1,2,70,126,77,120,83,89,3377,2953
1,4,1,21,23,21,20,20,25,0
1,4,2,22,24,22,20,20,32,0
1,4,3,23,26,22,20,21,49,0
1,4,4,23,27,23,20,21,56,0
1,4,5,24,29,24,21,21,63,0
1,4,6,25,30,25,21,22,70,0
1,4,7,26,32,25,21,22,87,0
1,4,8,26,33,26,21,23,94,0
1,4,9,27,35,27,21,23,101,0
1,4,10,28,36,27,21,23,118,0
1,4,11,29,38,28,22,24,125,0
1,4,12,30,39,29,22,24,142,0
1,4,13,31,41,30,22,25,149,0
1,4,14,31,43,31,22,25,156,0
1,4,15,32,44,31,22,25,173,0
1,4,16,33,46,32,23,26,181,0
1,4,17,34,48,33,23,26,190,0
1,4,18,35,49,34,23,27,200,0
1,4,19,36,51,35,23,27,221,0
1,4,20,37,53,35,23,28,233,0
1,4,21,38,54,36,24,28,246,0
1,4,22,39,56,37,24,29,260,0
1,4,23,40,58,38,24,29,275,0
1,4,24,41,60,39,24,30,301,0
1,4,25,42,61,40,25,30,318,0
1,4,26,43,63,41,25,31,336,0
1,4,27,44,65,42,25,31,355,0
1,4,28,45,67,43,25,32,375,0
1,4,29,46,69,43,25,32,396,0
1,4,30,47,71,44,26,33,428,0
1,4,31,48,72,45,26,33,451,0
1,4,32,49,74,46,26,34,475,0
1,4,33,50,76,47,27,34,500,0
1,4,34,51,78,48,27,35,526,0
1,4,35,52,80,49,27,35,553,0
1,4,36,53,82,50,27,36,581,0
1,4,37,54,84,51,28,36,610,0
1,4,38,55,86,52,28,37,640,0
1,4,39,56,88,53,28,38,671,0
1,4,40,57,90,54,28,38,703,0
1,4,41,58,92,55,29,39,736,0
1,4,42,60,94,56,29,39,770,0
1,4,43,61,96,57,29,40,805,0
1,4,44,62,98,58,30,40,841,0
1,4,45,63,100,59,30,41,878,0
1,4,46,64,103,61,30,42,916,0
1,4,47,65,105,62,31,42,955,0
1,4,48,66,107,63,31,43,995,0
1,4,49,68,109,64,31,44,1026,0
1,4,50,69,111,65,32,44,1068,0
1,4,51,70,113,66,32,45,1111,0
1,4,52,71,116,67,32,45,1155,0
1,4,53,73,118,68,33,46,1200,0
1,4,54,74,120,69,33,47,1246,0
1,4,55,75,122,71,33,47,1283,0
1,4,56,76,125,72,34,48,1331,0
1,4,57,78,127,73,34,49,1380,0
1,4,58,79,129,74,34,49,1430,0
1,4,59,80,131,75,35,50,1471,0
1,4,60,81,134,77,35,51,1523,0
1,4,61,83,136,78,35,51,1702,0
1,4,62,84,138,79,36,52,1879,0
1,4,63,85,141,80,36,53,2077,0
1,4,64,87,143,81,37,54,2285,0
1,4,65,88,146,83,37,54,2489,0
1,4,66,89,148,84,37,55,2717,0
1,4,67,91,151,85,38,56,2941,0
1,4,68,92,153,86,38,57,3190,0
1,4,69,94,156,88,39,57,3450,0
1,4,70,95,158,89,39,58,3704,0
1,5,1,20,20,20,22,23,52,73
1,5,2,20,20,20,23,24,57,76
1,5,3,20,20,21,25,26,72,95
1,5,4,20,21,21,26,27,77,114
1,5,5,21,21,21,27,28,92,133
1,5,6,21,21,22,29,30,97,152
1,5,7,21,21,22,30,31,112,171
1,5,8,21,22,23,31,33,117,190
1,5,9,21,22,23,33,34,132,209
1,5,10,21,22,23,34,36,137,212
1,5,11,22,22,24,36,37,142,215
1,5,12,22,23,24,37,39,157,234
1,5,13,22,23,25,38,40,172,254
1,5,14,22,23,25,40,42,177,260
1,5,15,22,23,25,41,43,192,282
1,5,16,23,24,26,43,45,197,305
1,5,17,23,24,26,44,46,212,329
1,5,18,23,24,27,46,48,227,339
1,5,19,23,24,27,47,49,232,365
1,5,20,23,25,28,49,51,247,377
1,5,21,24,25,28,51,53,252,405
1,5,22,24,25,29,52,54,268,434
1,5,23,24,26,29,54,56,275,449
1,5,24,24,26,30,55,58,293,480
1,5,25,25,26,30,57,59,302,497
1,5,26,25,27,31,59,61,322,530
1,5,27,25,27,31,60,63,343,549
1,5,28,25,27,32,62,65,355,584
1,5,29,25,28,32,64,66,378,605
1,5,30,26,28,33,65,68,392,627
1,5,31,26,28,33,67,70,417,665
1,5,32,26,29,34,69,72,433,689
1,5,33,27,29,34,70,73,460,728
1,5,34,27,29,35,72,75,478,752
1,5,35,27,30,35,74,77,507,776
1,5,36,27,30,36,76,79,527,800
1,5,37,28,30,36,78,81,548,839
1,5,38,28,31,37,79,83,580,863
1,5,39,28,31,38,81,85,603,887
1,5,40,28,31,38,83,87,637,911
1,5,41,29,32,39,85,88,662,950
1,5,42,29,32,39,87,90,698,974
1,5,43,29,33,40,89,92,725,998
1,5,44,30,33,40,91,94,763,1022
1,5,45,30,33,41,92,96,792,1046
1,5,46,30,34,42,94,98,822,1070
1,5,47,31,34,42,96,100,863,1094
1,5,48,31,35,43,98,102,895,1118
1,5,49,31,35,44,100,104,928,1142
1,5,50,32,36,44,102,106,972,1166
1,5,51,32,36,45,104,109,1007,1190
1,5,52,32,36,45,106,111,1053,1214
1,5,53,33,37,46,108,113,1090,1238
1,5,54,33,37,47,110,115,1128,1262
1,5,55,33,38,47,112,117,1177,1271
1,5,56,34,38,48,114,119,1217,1295
1,5,57,34,39,49,117,121,1258,1319
1,5,58,34,39,49,119,124,1300,1343
1,5,59,35,40,50,121,126,1353,1352
1,5,60,35,40,51,123,128,1397,1376
1,5,61,35,41,51,125,130,1557,1500
1,5,62,36,41,52,127,132,1738,1625
1,5,63,36,41,53,129,135,1916,1749
1,5,64,37,42,54,132,137,2101,1873
1,5,65,37,42,54,134,139,2295,1998
1,5,66,37,43,55,136,142,2495,2122
1,5,67,38,43,56,138,144,2719,2247
1,5,68,38,44,57,140,146,2936,2371
1,5,69,39,44,57,143,149,3160,2495
1,5,70,39,45,58,145,151,3391,2620
1,8,1,20,20,20,23,22,32,100
1,8,2,20,20,20,24,23,47,110
1,8,3,20,20,21,26,25,52,106
1,8,4,20,20,21,27,26,67,118
1,8,5,20,21,21,28,27,82,131
1,8,6,20,21,21,30,29,97,130
1,8,7,21,21,22,31,30,102,145
1,8,8,21,21,22,33,31,117,146
1,8,9,21,21,22,34,33,132,163
1,8,10,21,21,23,36,34,137,196
1,8,11,21,22,23,37,36,152,215
1,8,12,21,22,23,39,37,167,220
1,8,13,21,22,24,40,38,172,241
1,8,14,21,22,24,42,40,187,263
1,8,15,21,22,24,43,41,202,271
1,8,16,21,23,25,45,43,207,295
1,8,17,22,23,25,46,44,222,305
1,8,18,22,23,25,48,46,237,331
1,8,19,22,23,26,49,47,242,343
1,8,20,22,23,26,51,49,257,371
1,8,21,22,24,26,53,51,272,385
1,8,22,22,24,27,54,52,277,415
1,8,23,22,24,27,56,54,292,431
1,8,24,23,24,28,58,55,298,463
1,8,25,23,25,28,59,57,315,481
1,8,26,23,25,28,61,59,333,515
1,8,27,23,25,29,63,60,342,535
1,8,28,23,25,29,65,62,362,556
1,8,29,23,25,30,66,64,373,592
1,8,30,24,26,30,68,65,395,613
1,8,31,24,26,30,70,67,418,634
1,8,32,24,26,31,72,69,432,670
1,8,33,24,27,31,73,70,457,691
1,8,34,24,27,32,75,72,473,712
1,8,35,24,27,32,77,74,500,733
1,8,36,25,27,33,79,76,518,754
1,8,37,25,28,33,81,78,547,790
1,8,38,25,28,34,83,79,577,811
1,8,39,25,28,34,85,81,598,832
1,8,40,25,28,35,87,83,630,853
1,8,41,26,29,35,88,85,653,874
1,8,42,26,29,35,90,87,687,895
1,8,43,26,29,36,92,89,712,916
1,8,44,26,30,36,94,91,748,937
1,8,45,26,30,37,96,92,775,958
1,8,46,27,30,37,98,94,813,979
1,8,47,27,31,38,100,96,842,1000
1,8,48,27,31,38,102,98,882,1021
1,8,49,27,31,39,104,100,913,1042
1,8,50,28,32,40,106,102,955,1048
1,8,51,28,32,40,109,104,988,1069
1,8,52,28,32,41,111,106,1032,1090
1,8,53,28,33,41,113,108,1067,1111
1,8,54,29,33,42,115,110,1103,1117
1,8,55,29,33,42,117,112,1150,1138
1,8,56,29,34,43,119,114,1188,1159
1,8,57,29,34,43,121,117,1237,1165
1,8,58,30,34,44,124,119,1277,1186
1,8,59,30,35,44,126,121,1328,1192
1,8,60,30,35,45,128,123,1370,1213
1,8,61,30,35,46,130,125,1526,1316
1,8,62,31,36,46,132,127,1702,1419
1,8,63,31,36,47,135,129,1875,1521
1,8,64,31,37,47,137,132,2070,1624
1,8,65,32,37,48,139,134,2261,1727
1,8,66,32,37,49,142,136,2461,1830
1,8,67,32,38,49,144,138,2686,1932
1,8,68,32,38,50,146,140,2906,2035
1,8,69,33,39,50,149,143,3136,2138
1,8,70,33,39,51,151,145,3393,2241
1,9,1,20,20,21,22,22,23,90
1,9,2,20,20,22,23,23,28,98
1,9,3,21,21,22,24,24,43,107
1,9,4,21,21,23,26,25,48,102
1,9,5,21,21,23,27,27,63,113
1,9,6,21,22,24,28,28,68,126
1,9,7,22,22,24,29,29,83,144
1,9,8,22,23,25,30,30,88,162
1,9,9,22,23,26,32,31,93,180
1,9,10,23,23,26,33,33,108,198
1,9,11,23,24,27,34,34,123,200
1,9,12,23,24,27,35,35,128,218
1,9,13,24,25,28,37,36,143,237
1,9,14,24,25,29,38,38,148,257
1,9,15,24,25,29,39,39,153,278
1,9,16,25,26,30,41,40,168,300
1,9,17,25,26,31,42,42,173,308
1,9,18,25,27,31,43,43,189,332
1,9,19,26,27,32,45,44,196,357
1,9,20,26,28,33,46,46,204,383
1,9,21,26,28,33,48,47,223,395
1,9,22,27,29,34,49,49,233,423
1,9,23,27,29,35,51,50,244,452
1,9,24,28,30,35,52,51,266,467
1,9,25,28,30,36,53,53,279,498
1,9,26,28,31,37,55,54,293,530
1,9,27,29,31,37,56,56,318,548
1,9,28,29,32,38,58,57,334,582
1,9,29,30,32,39,59,59,351,602
1,9,30,30,33,40,61,60,379,638
1,9,31,30,33,40,62,62,398,674
1,9,32,31,34,41,64,63,418,695
1,9,33,31,34,42,66,65,439,731
1,9,34,32,35,43,67,66,471,752
1,9,35,32,35,44,69,68,494,788
1,9,36,33,36,44,70,69,518,809
1,9,37,33,36,45,72,71,543,830
1,9,38,34,37,46,74,73,569,866
1,9,39,34,38,47,75,74,606,887
1,9,40,35,38,48,77,76,634,923
1,9,41,35,39,48,79,78,663,944
1,9,42,35,39,49,80,79,693,965
1,9,43,36,40,50,82,81,724,1001
1,9,44,36,40,51,84,83,756,1022
1,9,45,37,41,52,85,84,799,1043
1,9,46,37,42,53,87,86,832,1064
1,9,47,38,42,54,89,88,868,1100
1,9,48,38,43,55,91,89,904,1121
1,9,49,39,44,55,93,91,941,1142
1,9,50,40,44,56,94,93,979,1163
1,9,51,40,45,57,96,95,1018,1184
1,9,52,41,45,58,98,97,1058,1205
1,9,53,41,46,59,100,98,1099,1226
1,9,54,42,47,60,102,100,1141,1247
1,9,55,42,47,61,103,102,1184,1268
1,9,56,43,48,62,105,104,1228,1289
1,9,57,43,49,63,107,106,1273,1310
1,9,58,44,49,64,109,108,1319,1331
1,9,59,44,50,65,111,109,1366,1352
1,9,60,45,51,66,113,111,1414,1373
1,9,61,46,51,67,115,113,1580,1497
1,9,62,46,52,68,117,115,1755,1621
1,9,63,47,53,69,119,117,1939,1745
1,9,64,47,54,70,121,119,2133,1870
1,9,65,48,54,71,123,121,2323,1994
1,9,66,49,55,72,125,123,2535,2118
1,9,67,49,56,73,127,125,2758,2242
1,9,68,50,57,74,129,127,2991,2366
1,9,69,50,57,75,131,129,3235,2490
1,9,70,51,58,76,133,131,3490,2615
2,1,1,26,17,24,17,23,20,0
2,1,2,27,18,25,17,23,29,0
2,1,3,29,19,26,17,24,38,0
2,1,4,30,19,27,17,24,47,0
2,1,5,31,20,29,17,24,56,0
2,1,6,32,21,30,17,24,65,0
2,1,7,34,22,31,18,25,74,0
2,1,8,35,23,32,18,25,83,0
2,1,9,37,24,34,18,25,92,0
2,1,10,38,24,35,18,26,101,0
2,1,11,39,25,36,18,26,100,0
2,1,12,41,26,37,18,26,109,0
2,1,13,42,27,39,18,27,118,0
2,1,14,44,28,40,18,27,128,0
2,1,15,45,29,41,18,27,139,0
2,1,16,47,30,43,19,28,151,0
2,1,17,48,31,44,19,28,154,0
2,1,18,50,32,45,19,28,168,0
2,1,19,51,33,47,19,29,183,0
2,1,20,53,34,48,19,29,199,0
2,1,21,54,34,50,19,29,206,0
2,1,22,56,35,51,19,30,224,0
2,1,23,57,36,52,20,30,243,0
2,1,24,59,37,54,20,30,253,0
2,1,25,60,38,55,20,31,274,0
2,1,26,62,39,57,20,31,296,0
2,1,27,64,40,58,20,32,309,0
2,1,28,65,41,60,20,32,333,0
2,1,29,67,43,61,21,32,348,0
2,1,30,69,44,63,21,33,374,0
2,1,31,70,45,64,21,33,401,0
2,1,32,72,46,66,21,34,419,0
2,1,33,74,47,67,21,34,448,0
2,1,34,76,48,69,21,35,468,0
2,1,35,77,49,71,22,35,499,0
2,1,36,79,50,72,22,36,521,0
2,1,37,81,51,74,22,36,545,0
2,1,38,83,52,76,22,36,581,0
2,1,39,84,53,77,22,37,609,0
2,1,40,86,55,79,23,37,649,0
2,1,41,88,56,81,23,38,681,0
2,1,42,90,57,82,23,38,715,0
2,1,43,92,58,84,23,39,761,0
2,1,44,94,59,86,23,39,799,0
2,1,45,96,60,87,24,40,839,0
2,1,46,98,62,89,24,40,881,0
2,1,47,100,63,91,24,41,935,0
2,1,48,101,64,93,24,41,981,0
2,1,49,103,65,94,25,42,1029,0
2,1,50,105,66,96,25,42,1079,0
2,1,51,107,68,98,25,43,1131,0
2,1,52,109,69,100,25,43,1185,0
2,1,53,111,70,102,25,44,1241,0
2,1,54,113,71,104,26,45,1299,0
2,1,55,115,73,105,26,45,1359,0
2,1,56,118,74,107,26,46,1421,0
2,1,57,120,75,109,26,46,1485,0
2,1,58,122,77,111,27,47,1551,0
2,1,59,124,78,113,27,47,1619,0
2,1,60,126,79,115,27,48,1689,0
2,1,61,128,81,117,27,48,1902,0
2,1,62,130,82,119,28,49,2129,0
2,1,63,132,83,121,28,50,2357,0
2,1,64,135,85,123,28,50,2612,0
2,1,65,137,86,125,29,51,2883,0
2,1,66,139,87,127,29,52,3169,0
2,1,67,141,89,129,29,52,3455,0
2,1,68,143,90,131,29,53,3774,0
2,1,69,146,92,133,30,53,4109,0
2,1,70,148,93,135,30,54,4444,0
2,3,1,23,20,23,17,24,46,65
2,3,2,23,21,24,18,25,53,70
2,3,3,24,23,25,18,25,60,76
2,3,4,24,24,26,19,26,67,98
2,3,5,25,25,27,19,26,74,106
2,3,6,25,27,28,20,27,81,130
2,3,7,26,28,28,21,28,88,140
2,3,8,26,30,29,21,28,95,166
2,3,9,26,31,30,22,29,102,193
2,3,10,27,33,31,22,30,109,206
2,3,11,27,34,32,23,30,116,235
2,3,12,28,36,33,24,31,123,250
2,3,13,28,37,34,24,32,130,266
2,3,14,29,39,35,25,33,138,298
2,3,15,29,40,36,26,33,147,316
2,3,16,30,42,37,26,34,157,350
2,3,17,30,43,39,27,35,168,370
2,3,18,31,45,40,28,35,180,391
2,3,19,31,47,41,28,36,193,428
2,3,20,32,48,42,29,37,207,451
2,3,21,32,50,43,30,38,222,475
2,3,22,33,51,44,31,39,238,515
2,3,23,34,53,45,31,39,255,541
2,3,24,34,55,46,32,40,273,568
2,3,25,35,57,47,33,41,292,611
2,3,26,35,58,48,34,42,312,640
2,3,27,36,60,50,34,43,333,670
2,3,28,36,62,51,35,43,355,715
2,3,29,37,63,52,36,44,378,745
2,3,30,38,65,53,37,45,402,775
2,3,31,38,67,54,37,46,417,805
2,3,32,39,69,56,38,47,443,850
2,3,33,39,71,57,39,48,470,880
2,3,34,40,72,58,40,49,498,910
2,3,35,41,74,59,41,49,527,940
2,3,36,41,76,61,42,50,547,970
2,3,37,42,78,62,42,51,578,1015
2,3,38,43,80,63,43,52,610,1045
2,3,39,43,82,64,44,53,643,1075
2,3,40,44,84,66,45,54,667,1105
2,3,41,45,86,67,46,55,702,1135
2,3,42,45,88,68,47,56,738,1180
2,3,43,46,90,70,47,57,775,1210
2,3,44,47,91,71,48,58,803,1240
2,3,45,47,93,72,49,59,842,1270
2,3,46,48,95,74,50,60,872,1300
2,3,47,49,98,75,51,61,913,1330
2,3,48,50,100,77,52,62,955,1360
2,3,49,50,102,78,53,63,994,1390
2,3,50,51,104,79,54,64,1047,1420
2,3,51,52,106,81,55,65,1067,1450
2,3,52,52,108,82,56,66,1113,1480
2,3,53,53,110,84,57,67,1150,1510
2,3,54,54,112,85,58,68,1198,1540
2,3,55,55,114,87,59,69,1237,1570
2,3,56,55,116,88,60,70,1287,1600
2,3,57,56,118,90,61,71,1328,1630
2,3,58,57,121,91,62,72,1370,1660
2,3,59,58,123,93,63,73,1423,1690
2,3,60,59,125,94,64,74,1467,1720
2,3,61,59,127,96,65,76,1633,1886
2,3,62,60,130,97,66,77,1819,2053
2,3,63,61,132,99,67,78,2003,2219
2,3,64,62,134,100,68,79,2195,2385
2,3,65,63,136,102,69,80,2397,2552
2,3,66,64,139,104,70,81,2623,2718
2,3,67,64,141,105,71,82,2844,2884
2,3,68,65,143,107,72,84,3075,3050
2,3,69,66,146,108,73,85,3316,3217
2,3,70,67,148,110,74,86,3568,3383
2,4,1,24,20,23,17,23,25,0
2,4,2,25,21,24,17,23,32,0
2,4,3,25,23,24,17,24,49,0
2,4,4,26,24,25,17,24,56,0
2,4,5,27,26,26,18,24,63,0
2,4,6,28,27,26,18,25,70,0
2,4,7,29,29,27,18,25,87,0
2,4,8,29,30,28,18,26,94,0
2,4,9,30,32,29,18,26,101,0
2,4,10,31,33,29,19,26,118,0
2,4,11,32,35,30,19,27,125,0
2,4,12,33,37,31,19,27,142,0
2,4,13,34,38,32,19,28,149,0
2,4,14,34,40,32,19,28,156,0
2,4,15,35,41,33,19,28,173,0
2,4,16,36,43,34,20,29,181,0
2,4,17,37,45,35,20,29,190,0
2,4,18,38,46,36,20,30,200,0
2,4,19,39,48,37,20,30,221,0
2,4,20,40,50,37,21,31,233,0
2,4,21,41,52,38,21,31,246,0
2,4,22,42,53,39,21,31,260,0
2,4,23,43,55,40,21,32,275,0
2,4,24,43,57,41,21,32,301,0
2,4,25,44,59,42,22,33,318,0
2,4,26,45,60,43,22,33,336,0
2,4,27,46,62,44,22,34,355,0
2,4,28,47,64,44,22,34,375,0
2,4,29,48,66,45,23,35,396,0
2,4,30,49,68,46,23,35,428,0
2,4,31,50,70,47,23,36,451,0
2,4,32,51,72,48,23,36,475,0
2,4,33,53,73,49,24,37,500,0
2,4,34,54,75,50,24,38,526,0
2,4,35,55,77,51,24,38,553,0
2,4,36,56,79,52,24,39,581,0
2,4,37,57,81,53,25,39,610,0
2,4,38,58,83,54,25,40,640,0
2,4,39,59,85,55,25,40,671,0
2,4,40,60,87,56,26,41,703,0
2,4,41,61,89,57,26,41,736,0
2,4,42,62,91,58,26,42,770,0
2,4,43,63,93,59,27,43,805,0
2,4,44,65,95,60,27,43,841,0
2,4,45,66,98,61,27,44,878,0
2,4,46,67,100,62,27,44,916,0
2,4,47,68,102,64,28,45,955,0
2,4,48,69,104,65,28,46,995,0
2,4,49,71,106,66,28,46,1026,0
2,4,50,72,108,67,29,47,1068,0
2,4,51,73,110,68,29,48,1111,0
2,4,52,74,113,69,29,48,1155,0
2,4,53,75,115,70,30,49,1200,0
2,4,54,77,117,71,30,50,1246,0
2,4,55,78,119,73,30,50,1283,0
2,4,56,79,122,74,31,51,1331,0
2,4,57,80,124,75,31,52,1380,0
2,4,58,82,126,76,31,52,1430,0
2,4,59,83,129,77,32,53,1471,0
2,4,60,84,131,78,32,54,1523,0
2,4,61,86,133,80,33,54,1702,0
2,4,62,87,136,81,33,55,1879,0
2,4,63,88,138,82,33,56,2077,0
2,4,64,90,140,83,34,57,2285,0
2,4,65,91,143,85,34,57,2489,0
2,4,66,92,145,86,34,58,2717,0
2,4,67,94,148,87,35,59,2941,0
2,4,68,95,150,88,35,59,3190,0
2,4,69,97,153,90,36,60,3450,0
2,4,70,98,155,91,36,61,3704,0
2,7,1,24,17,23,18,25,37,85
2,7,2,25,17,24,19,26,44,91
2,7,3,26,18,25,20,27,51,98
2,7,4,26,18,26,21,28,58,106
2,7,5,27,19,27,22,29,65,115
2,7,6,28,19,28,23,30,72,125
2,7,7,29,20,29,24,31,79,136
2,7,8,30,20,30,25,32,86,148
2,7,9,31,21,31,26,33,93,161
2,7,10,32,21,32,27,34,100,175
2,7,11,33,22,33,28,36,107,190
2,7,12,34,22,34,29,37,114,206
2,7,13,34,23,35,30,38,121,223
2,7,14,35,23,36,31,39,128,241
2,7,15,36,24,37,32,40,135,260
2,7,16,37,24,39,33,41,142,280
2,7,17,38,25,40,34,43,150,301
2,7,18,39,25,41,35,44,159,323
2,7,19,40,26,42,36,45,169,346
2,7,20,41,26,43,37,46,180,370
2,7,21,42,27,44,38,47,192,395
2,7,22,43,27,45,39,49,205,421
2,7,23,44,28,47,40,50,219,448
2,7,24,45,28,48,41,51,234,476
2,7,25,47,29,49,43,52,240,505
2,7,26,48,30,50,44,54,257,535
2,7,27,49,30,52,45,55,275,566
2,7,28,50,31,53,46,56,294,598
2,7,29,51,31,54,47,58,314,631
2,7,30,52,32,55,48,59,335,665
2,7,31,53,33,57,50,60,347,699
2,7,32,54,33,58,51,62,370,733
2,7,33,55,34,59,52,63,394,767
2,7,34,57,34,61,53,65,419,786
2,7,35,58,35,62,55,66,435,820
2,7,36,59,36,63,56,67,462,854
2,7,37,60,36,65,57,69,490,888
2,7,38,61,37,66,58,70,509,922
2,7,39,62,38,67,60,72,539,941
2,7,40,64,38,69,61,73,570,975
2,7,41,65,39,70,62,75,592,1009
2,7,42,66,40,72,64,76,625,1028
2,7,43,67,40,73,65,78,649,1062
2,7,44,69,41,74,66,79,684,1096
2,7,45,70,42,76,68,81,710,1115
2,7,46,71,42,77,69,82,747,1149
2,7,47,72,43,79,70,84,775,1183
2,7,48,74,44,80,72,85,814,1202
2,7,49,75,45,82,73,87,844,1236
2,7,50,76,45,83,75,89,885,1255
